iter	Passed	Remaining
460	790	923
461	791	921
462	792	919
463	793	917
464	795	914
465	796	912
466	797	910
467	799	908
468	800	906
469	801	904
470	803	901
471	804	899
472	805	897
473	806	895
474	808	893
475	809	891
476	810	889
477	812	887
478	813	884
479	814	882
480	816	880
481	817	878
482	818	876
483	820	874
484	821	872
485	822	870
486	823	867
487	825	865
488	826	863
489	827	861
490	829	859
491	830	857
492	831	855
493	833	853
494	834	851
495	836	849
496	837	847
497	838	845
498	839	843
499	840	840
500	842	838
501	843	836
502	844	834
503	846	832
504	847	830
505	849	828
506	850	826
507	851	824
508	852	822
509	854	820
510	855	818
511	856	816
512	858	814
513	859	812
514	860	810
515	862	808
516	863	806
517	864	804
518	866	802
519	867	800
520	868	798
521	869	796
522	871	794
523	872	792
524	874	791
525	876	789
526	877	787
527	878	785
528	879	783
529	881	781
530	882	779
531	883	777
532	885	775
533	886	773
534	887	771
535	889	769
536	890	767
537	891	765
538	893	763
539	894	761
540	895	759
541	896	757
542	898	755
543	899	753
544	900	751
545	901	749
546	903	747
547	904	746
548	905	744
549	907	742
550	908	740
551	909	738
552	911	736
553	912	734
554	913	732
555	915	730
556	916	728
557	917	726
558	918	724
559	920	722
560	921	720
561	922	719
562	924	717
563	925	715
564	926	713
565	927	711
566	929	709
567	930	707
568	931	705
569	932	703
570	934	701
571	935	699
572	936	698
573	937	696
574	939	694
575	940	692
576	941	690
577	943	688
578	944	687
579	946	685
580	947	683
581	948	681
582	950	679
583	951	677
584	952	675
585	953	673
586	955	671
587	956	670
588	958	668
589	959	666
590	960	664
591	962	663
592	963	661
593	964	659
594	966	657
595	967	655
596	968	653
597	970	652
598	971	650
599	972	648
600	973	646
601	975	644
602	976	642
603	977	641
604	979	639
605	980	637
606	981	635
607	983	633
608	984	632
609	985	630
610	987	628
611	988	626
612	989	624
613	991	623
614	992	621
615	993	619
616	995	617
617	996	616
618	997	614
619	999	612
620	1000	610
621	1002	608
622	1003	607
623	1004	605
624	1005	603
625	1007	601
626	1008	599
627	1009	597
628	1010	596
629	1012	594
630	1013	592
631	1014	590
632	1015	588
633	1017	587
634	1018	585
635	1019	583
636	1021	581
637	1022	580
638	1023	578
639	1024	576
640	1026	574
641	1027	572
642	1028	571
643	1030	569
644	1031	567
645	1032	565
646	1033	564
647	1035	562
648	1036	560
649	1037	558
650	1038	556
651	1040	555
652	1041	553
653	1042	551
654	1044	549
655	1045	548
656	1047	546
657	1048	544
658	1049	543
659	1050	541
660	1052	539
661	1053	537
662	1054	536
663	1056	534
664	1057	532
665	1058	530
666	1060	529
667	1061	527
668	1062	525
669	1064	524
670	1065	522
671	1066	520
672	1067	518
673	1069	517
674	1070	515
675	1071	513
676	1073	511
677	1074	510
678	1075	508
679	1076	506
680	1078	505
681	1079	503
682	1080	501
683	1082	499
684	1083	498
685	1084	496
686	1086	494
687	1087	493
688	1088	491
689	1090	489
690	1091	487
691	1092	486
692	1093	484
693	1095	482
694	1096	481
695	1097	479
696	1099	478
697	1101	476
698	1103	475
699	1105	473
700	1107	472
701	1108	470
702	1110	469
703	1111	467
704	1113	465
705	1113	463
706	1115	462
707	1116	460
708	1118	458
709	1119	457
710	1120	455
711	1121	453
712	1123	452
713	1124	450
714	1126	448
715	1127	447
716	1128	445
717	1129	443
718	1131	442
719	1132	440
720	1134	438
721	1135	437
722	1136	435
723	1137	433
724	1139	432
725	1140	430
726	1141	428
727	1143	427
728	1144	425
729	1145	423
730	1147	422
731	1148	420
732	1149	418
733	1151	417
734	1152	415
735	1153	413
736	1155	412
737	1156	410
738	1157	408
739	1159	407
740	1160	405
741	1161	403
742	1163	402
743	1164	400
744	1165	398
745	1167	397
746	1168	395
747	1170	394
748	1171	392
749	1173	391
750	1174	389
751	1175	387
752	1176	386
753	1178	384
754	1179	382
755	1180	381
756	1182	379
757	1183	377
758	1185	376
759	1186	374
760	1187	373
761	1188	371
762	1190	369
763	1191	368
764	1192	366
765	1194	364
766	1195	363
767	1196	361
768	1198	359
769	1199	358
770	1200	356
771	1202	355
772	1203	353
773	1204	351
774	1205	350
775	1207	348
776	1208	346
777	1209	345
778	1211	343
779	1212	341
780	1213	340
781	1215	338
782	1216	337
783	1217	335
784	1218	333
785	1220	332
786	1221	330
787	1223	329
788	1224	327
789	1226	326
790	1228	324
791	1230	323
792	1231	321
793	1232	319
794	1233	318
795	1235	316
796	1236	314
797	1237	313
798	1239	311
799	1240	310
800	1241	308
801	1242	306
802	1244	305
803	1245	303
804	1246	302
805	1248	300
806	1249	298
807	1250	297
808	1251	295
809	1253	294
810	1254	292
811	1256	290
812	1257	289
813	1258	287
814	1260	286
815	1261	284
816	1262	282
817	1263	281
818	1264	279
819	1266	277
820	1267	276
821	1269	274
822	1270	273
823	1271	271
824	1273	270
825	1274	268
826	1275	266
827	1276	265
828	1278	263
829	1279	262
830	1281	260
831	1282	259
832	1284	257
833	1286	255
834	1287	254
835	1288	252
836	1290	251
837	1291	249
838	1293	248
839	1294	246
840	1296	245
841	1297	243
842	1299	241
843	1300	240
844	1302	238
845	1303	237
846	1305	235
847	1306	234
848	1308	232
849	1309	231
850	1310	229
851	1312	227
852	1313	226
853	1315	224
854	1316	223
855	1318	221
856	1320	220
857	1322	218
858	1324	217
859	1325	215
860	1327	214
861	1329	212
862	1330	211
863	1333	209
864	1334	208
865	1336	206
866	1337	205
867	1339	203
868	1340	202
869	1342	200
870	1343	199
871	1345	197
872	1346	195
873	1348	194
874	1350	192
875	1351	191
876	1353	189
877	1354	188
878	1356	186
879	1357	185
880	1359	183
881	1361	182
882	1362	180
883	1363	178
884	1365	177
885	1366	175
886	1367	174
887	1369	172
888	1370	171
889	1371	169
890	1373	167
891	1374	166
892	1375	164
893	1377	163
894	1378	161
895	1379	160
896	1381	158
897	1382	157
898	1383	155
899	1385	153
900	1386	152
901	1387	150
902	1389	149
903	1390	147
904	1391	146
905	1393	144
906	1394	143
907	1396	141
908	1398	139
909	1399	138
910	1401	136
911	1402	135
912	1403	133
913	1404	132
914	1406	130
915	1407	129
916	1408	127
917	1410	125
918	1411	124
919	1412	122
920	1413	121
921	1415	119
922	1416	118
923	1417	116
924	1419	115
925	1420	113
926	1421	111
927	1422	110
928	1424	108
929	1426	107
930	1428	105
931	1430	104
932	1432	102
933	1433	101
934	1434	99
935	1436	98
936	1437	96
937	1438	95
938	1440	93
939	1441	92
940	1442	90
941	1443	88
942	1445	87
943	1446	85
944	1447	84
945	1449	82
946	1450	81
947	1451	79
948	1453	78
949	1454	76
950	1455	75
951	1456	73
952	1458	71
953	1459	70
954	1460	68
955	1461	67
956	1463	65
957	1464	64
958	1465	62
959	1466	61
960	1468	59
961	1469	58
962	1470	56
963	1472	54
964	1473	53
965	1475	51
966	1476	50
967	1477	48
968	1479	47
969	1480	45
970	1482	44
971	1483	42
972	1484	41
973	1486	39
974	1487	38
975	1489	36
976	1490	35
977	1492	33
978	1493	32
979	1494	30
980	1496	28
981	1497	27
982	1498	25
983	1500	24
984	1501	22
985	1502	21
986	1504	19
987	1505	18
988	1506	16
989	1507	15
990	1510	13
991	1511	12
992	1512	10
993	1514	9
994	1515	7
995	1516	6
996	1518	4
997	1519	3
998	1521	1
999	1522	0
